pdb,chain,name,L,resolution,n_pairs,split
4v11,A,4v11_A,150,,497,train
5pti,A,5pti_A,58,,165,train
1ubq,A,1ubq_A,76,,212,train
4mkm,A,4mkm_A,292,,929,train
1crn,A,1crn_A,46,,118,train
3gb1,A,3gb1_A,56,,145,test
1enh,A,1enh_A,54,,150,val
11tt,A,11tt_A,263,,888,val
2pl3,A,2pl3_A,232,,772,train
3zyt,A,3zyt_A,372,,1366,train
13lx,A,13lx_A,285,2.20,892,train
1c3l,A,1c3l_A,274,2.16,1017,train
1bhd,A,1bhd_A,108,2.00,352,train
1b11,A,1b11_A,113,1.90,306,train
1c22,A,1c22_A,262,1.75,934,train
1a18,A,1a18_A,131,2.40,406,train
131l,A,131l_A,162,1.70,533,train
1ass,A,1ass_A,152,2.30,486,train
1bp4,A,1bp4_A,212,2.20,728,train
1a8z,A,1a8z_A,153,2.10,491,train
1a86,A,1a86_A,158,2.00,490,train
2ctx,A,2ctx_A,71,2.40,185,train
1bwi,A,1bwi_A,129,1.80,418,val
2g69,A,2g69_A,99,1.35,256,train
1t6f,A,1t6f_A,37,1.47,76,train
1dhn,A,1dhn_A,121,1.65,363,train
1bnz,A,1bnz_A,64,2.00,175,train
1qd0,A,1qd0_A,128,2.50,385,val
2c4v,A,2c4v_A,158,2.50,479,train
1kuh,A,1kuh_A,132,1.60,414,train
1yxh,A,1yxh_A,119,1.86,344,train
2he4,A,2he4_A,90,1.45,229,train
2eiq,A,2eiq_A,107,1.90,323,train
1kvb,A,1kvb_A,155,1.90,502,train
1tlv,A,1tlv_A,205,1.95,675,train
2haq,A,2haq_A,166,1.97,562,val
1o51,A,1o51_A,89,2.50,230,train
1ub9,A,1ub9_A,100,2.05,288,train
1e9d,A,1e9d_A,210,1.70,718,train
1g2r,A,1g2r_A,94,1.35,271,train
1zil,A,1zil_A,30,2.25,56,train
1m1s,A,1m1s_A,109,1.80,336,train
1iv9,A,1iv9_A,96,1.90,272,train
2jk1,A,2jk1_A,138,2.10,430,train
1rwj,A,1rwj_A,81,1.70,161,train
1rpe,L,1rpe_L,63,2.50,187,train
3mc3,A,3mc3_A,121,1.49,399,val
3f40,A,3f40_A,112,1.27,324,train
2v3j,A,2v3j_A,217,2.00,674,train
1ycz,A,1ycz_A,89,1.80,278,test
4oef,A,4oef_A,125,1.80,406,train
1zw6,A,1zw6_A,166,1.50,544,train
6il0,A,6il0_A,160,1.93,513,test
1lih,A,1lih_A,160,2.20,485,train
5vsx,A,5vsx_A,74,2.10,141,train
2wc1,A,2wc1_A,182,2.17,629,train
1g2b,A,1g2b_A,62,1.12,166,train
4cya,A,4cya_A,160,1.86,518,train
4o8h,A,4o8h_A,164,0.85,576,test
1vmb,A,1vmb_A,107,1.70,308,train
1x6q,A,1x6q_A,120,1.51,351,train
4wql,A,4wql_A,175,1.73,559,val
7hb6,A,7hb6_A,209,2.09,673,train
1v9q,A,1v9q_A,154,1.45,506,train
3boj,A,3boj_A,209,1.45,693,train
1bxa,A,1bxa_A,105,1.30,327,test
1no5,A,1no5_A,100,1.80,294,train
7q2i,A,7q2i_A,134,1.87,368,train
3h4c,A,3h4c_A,207,2.30,691,train
5yhy,A,5yhy_A,146,1.65,383,train
4zxr,A,4zxr_A,207,1.92,716,train
4wh7,A,4wh7_A,178,1.62,586,val
1ytn,A,1ytn_A,283,2.40,979,train
1jnp,A,1jnp_A,101,2.50,298,train
5c1y,A,5c1y_A,181,1.97,614,val
3dh5,A,3dh5_A,124,1.60,395,train
1xq3,A,1xq3_A,243,2.25,841,train
3re9,A,3re9_A,179,2.40,584,train
5gi0,A,5gi0_A,122,2.04,334,train
9t4p,A,9t4p_A,196,1.95,630,val
1lv7,A,1lv7_A,251,1.50,781,train
2ebn,A,2ebn_A,285,2.00,990,test
1wxf,A,1wxf_A,255,2.30,795,train
2qtp,A,2qtp_A,147,2.10,490,train
3r2p,A,3r2p_A,180,2.20,448,train
5ygm,A,5ygm_A,237,1.60,793,test
3s0d,A,3s0d_A,119,1.24,374,train
6qey,A,6qey_A,170,2.20,515,train
8e02,A,8e02_A,125,1.09,406,train
9ngb,A,9ngb_A,119,2.50,336,train
3d08,A,3d08_A,182,1.40,567,train
1r0h,A,1r0h_A,53,1.70,141,train
7tng,A,7tng_A,87,1.40,245,train
6vag,A,6vag_A,74,1.40,156,test
3kz7,A,3kz7_A,119,1.95,343,train
3uev,A,3uev_A,158,1.90,509,test
6qlj,A,6qlj_A,207,1.77,626,val
2wp7,A,2wp7_A,159,1.90,501,val
5e88,A,5e88_A,137,1.60,442,train
1u3z,A,1u3z_A,104,1.90,313,train
3f3m,A,3f3m_A,155,2.40,466,train
5hwg,A,5hwg_A,175,1.99,569,train
3cpo,A,3cpo_A,122,1.24,376,train
2x29,A,2x29_A,156,2.30,490,train
1v2r,T,1v2r_T,223,1.70,746,val
2a6c,A,2a6c_A,76,1.90,193,test
7ycq,A,7ycq_A,111,1.99,328,train
1lh2,A,1lh2_A,153,2.00,488,train
5pc6,A,5pc6_A,115,1.74,312,train
9sma,A,9sma_A,124,2.34,263,train
3sd6,A,3sd6_A,86,1.37,255,val
1xw3,A,1xw3_A,110,1.65,274,train
3x1y,A,3x1y_A,166,1.17,542,val
1ahq,A,1ahq_A,133,2.30,428,train
5h29,A,5h29_A,207,2.30,680,train
6ml3,A,6ml3_A,112,1.68,255,train
1s3c,A,1s3c_A,138,1.25,425,train
2in8,A,2in8_A,139,1.70,462,train
7zua,A,7zua_A,118,1.68,372,test
5cyb,A,5cyb_A,89,2.10,251,train
7t9x,A,7t9x_A,73,1.52,197,train
8zna,A,8zna_A,93,1.89,270,val
1rfj,A,1rfj_A,148,2.00,418,train
7xl7,A,7xl7_A,58,1.85,140,train
2gkg,A,2gkg_A,122,1.00,386,test
2g52,A,2g52_A,224,1.84,776,train
1jwf,A,1jwf_A,139,2.10,456,train
4o6t,A,4o6t_A,182,1.25,613,train
7leo,A,7leo_A,52,1.65,133,val
9kn8,A,9kn8_A,174,1.64,566,train
1cia,A,1cia_A,213,2.50,665,train
4xmg,A,4xmg_A,184,1.80,574,train
1c6r,A,1c6r_A,88,1.90,250,train
7yuk,A,7yuk_A,116,2.11,355,train
7e1p,A,7e1p_A,150,1.63,476,train
4idl,A,4idl_A,123,2.09,387,train
2fmu,A,2fmu_A,209,2.30,656,train
